# ResFinder phenotype results.
# Sample: GCF_000765415.1_ASM76541v1_genomic.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	1	aac(3)-IIa (aac(3)-IIa_X51534)
tobramycin	aminoglycoside	Resistant	1	aac(3)-IIa (aac(3)-IIa_X51534)
streptomycin	aminoglycoside	Resistant	3	aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF321551), aadA16 (aadA16_EU675686)
amikacin	aminoglycoside	No resistance	0	
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	Resistant	1	aac(3)-IIa (aac(3)-IIa_X51534)
kanamycin	aminoglycoside	No resistance	0	
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	1	aac(3)-IIa (aac(3)-IIa_X51534)
apramycin	aminoglycoside	Resistant	1	aac(3)-IIa (aac(3)-IIa_X51534)
sisomicin	aminoglycoside	Resistant	1	aac(3)-IIa (aac(3)-IIa_X51534)
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	1	aadA16 (aadA16_EU675686)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
amoxicillin	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840), blaCTX-M-2 (blaCTX-M-2_AB176535), blaTEM-1D (blaTEM-1D_AF188200)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840)
ampicillin	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840), blaCTX-M-2 (blaCTX-M-2_AB176535), blaTEM-1D (blaTEM-1D_AF188200)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840)
cefepime	beta-lactam	Resistant	3	blaCTX-M-2 (blaCTX-M-2_AB176535)
cefixime	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840), blaCTX-M-2 (blaCTX-M-2_AB176535)
cefoxitin	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840)
ceftazidime	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840), blaCTX-M-2 (blaCTX-M-2_AB176535)
ertapenem	beta-lactam	No resistance	0	
imipenem	beta-lactam	No resistance	0	
meropenem	beta-lactam	No resistance	0	
piperacillin	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840), blaCTX-M-2 (blaCTX-M-2_AB176535), blaTEM-1D (blaTEM-1D_AF188200)
piperacillin+tazobactam	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840)
unknown beta-lactam	beta-lactam	No resistance	0	
aztreonam	beta-lactam	Resistant	3	blaCTX-M-2 (blaCTX-M-2_AB176535)
cefotaxime+clavulanic acid	beta-lactam	No resistance	0	
temocillin	beta-lactam	No resistance	0	
ticarcillin	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840), blaCTX-M-2 (blaCTX-M-2_AB176535), blaTEM-1D (blaTEM-1D_AF188200)
ceftazidime+avibactam	beta-lactam	No resistance	0	
penicillin	beta-lactam	No resistance	0	
ceftriaxone	beta-lactam	Resistant	3	blaCTX-M-2 (blaCTX-M-2_AB176535)
ticarcillin+clavulanic acid	beta-lactam	Resistant	3	blaCMY-2 (blaCMY-2_X91840)
cephalothin	beta-lactam	Resistant	3	blaTEM-1D (blaTEM-1D_AF188200)
piperacillin+clavulanic acid	beta-lactam	No resistance	0	
ceftiofur	under_development	No resistance	0	
sulfamethoxazole	folate pathway antagonist	Resistant	3	sul2 (sul2_AY034138), sul1 (sul1_U12338)
trimethoprim	folate pathway antagonist	Resistant	3	dfrA1 (dfrA1_X00926), dfrA27 (dfrA27_FJ459817)
fosfomycin	fosfomycin	No resistance	0	
vancomycin	glycopeptide	No resistance	0	
teicoplanin	glycopeptide	No resistance	0	
bleomycin	glycopeptide	No resistance	0	
lincomycin	lincosamide	No resistance	0	
clindamycin	lincosamide	No resistance	0	
dalfopristin	streptogramin a	No resistance	0	
pristinamycin iia	streptogramin a	No resistance	0	
virginiamycin m	streptogramin a	No resistance	0	
quinupristin+dalfopristin	streptogramin a	No resistance	0	
tiamulin	pleuromutilin	No resistance	0	
carbomycin	macrolide	No resistance	0	
erythromycin	macrolide	Resistant	3	mph(A) (mph(A)_D16251)
azithromycin	macrolide	Resistant	3	mph(A) (mph(A)_D16251)
oleandomycin	macrolide	No resistance	0	
spiramycin	macrolide	Resistant	3	mph(A) (mph(A)_D16251)
tylosin	macrolide	No resistance	0	
telithromycin	macrolide	Resistant	3	mph(A) (mph(A)_D16251)
tetracycline	tetracycline	Resistant	3	tet(A) (tet(A)_AF534183)
doxycycline	tetracycline	Resistant	3	tet(A) (tet(A)_AF534183)
minocycline	tetracycline	No resistance	0	
tigecycline	tetracycline	No resistance	0	
quinupristin	streptogramin b	No resistance	0	
pristinamycin ia	streptogramin b	No resistance	0	
virginiamycin s	streptogramin b	No resistance	0	
linezolid	oxazolidinone	No resistance	0	
chloramphenicol	amphenicol	Resistant	3	FloR (FloR_CP136914), catB9 (catB9_AF462019)
florfenicol	amphenicol	Resistant	3	FloR (FloR_CP136914)
colistin	polymyxin	No resistance	0	
fusidic acid	steroid antibacterial	No resistance	0	
mupirocin	pseudomonic acid	No resistance	0	
rifampicin	rifamycin	Resistant	3	ARR-3 (ARR-3_JF806499)
metronidazole	nitroimidazole	No resistance	0	
narasin	ionophores	No resistance	0	
salinomycin	ionophores	No resistance	0	
maduramicin	ionophores	No resistance	0	
